name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Streptococcus mutans	1309	S	493637	505790	999427	0.06013	0.05254	0.04917	0.04922	37	nan
Lactobacillus delbrueckii	1584	S	485247	490878	976125	0.05873	0.05366	0.05433	0.05402	53	nan
Megamonas funiformis	437897	S	605188	606700	1211888	0.07291	0.05296	0.04917	0.05069	32	nan
Megasphaera elsdenii	907	S	595518	599599	1195117	0.07191	0.05096	0.05233	0.05165	56	nan
Longicatena caecimuris	1796635	S	703	754	1457	0.00009	0.00005	0.00000	0.00005	38	4.0
[Clostridium] innocuum	1522	S	629	651	1280	0.00008	0.00003	0.00000	0.00003	46	3.0
Bifidobacterium longum	216816	S	942317	1183351	2125668	0.12789	0.09574	0.09997	0.09842	62	nan
Bifidobacterium breve	1685	S	752	1566	2318	0.00014	0.00015	0.00015	0.00015	60	nan
Cutibacterium acnes	1747	S	505527	511804	1017331	0.06121	0.04342	0.04573	0.04469	60	nan
Mycobacterium canettii	78331	S	1292	1300	2592	0.00016	0.00006	0.00000	0.00007	65	0.0
Collinsella aerofaciens	74426	S	619113	621361	1240474	0.07463	0.05473	0.05769	0.05701	61	nan
Pseudomonas putida	303	S	1465932	1555819	3021751	0.18181	0.05977	0.05726	0.06098	64	nan
Escherichia coli	562	S	63412	1026372	1089784	0.06557	0.04456	0.04560	0.04502	53	nan
Escherichia albertii	208962	S	1928	2526	4454	0.00027	0.00011	0.00011	0.00011	52	nan
Escherichia fergusonii	564	S	1209	2320	3529	0.00021	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	1089	1336	2425	0.00015	0.00006	0.00006	0.00006	52	nan
Escherichia sp. E4742	2044467	S	717	1010	1727	0.00010	0.00004	0.00004	0.00004	52	nan
Shigella flexneri	623	S	1124	31234	32358	0.00195	0.00143	0.00146	0.00144	53	nan
Shigella dysenteriae	622	S	888	4803	5691	0.00034	0.00022	0.00023	0.00022	53	nan
Shigella boydii	621	S	544	6865	7409	0.00045	0.00032	0.00033	0.00032	53	nan
Klebsiella pneumoniae	573	S	568	4072	4640	0.00028	0.00016	0.00000	0.00017	54	5.0
Salmonella enterica	28901	S	928	7859	8787	0.00053	0.00035	0.00038	0.00035	53	nan
Bacteroides uniformis	820	S	797432	1275953	2073385	0.12475	0.05550	0.05603	0.05492	49	nan
Parabacteroides distasonis	823	S	609156	1176940	1786096	0.10746	0.04849	0.04844	0.04772	47	nan
Akkermansia muciniphila	239935	S	614550	619311	1233861	0.07424	0.04800	0.05038	0.04912	57	nan
Campylobacter jejuni	197	S	2039	2815	4854	0.00029	0.00036	0.00000	0.00034	30	0.0
Homo sapiens	9606	S	4451	4702	9153	0.00055	0.00004	0.00000	0.00004	37	0.0
