name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Roseovarius sp. THAF9	2587847	S	41844	43686	85530	0.00574	0.00293	0.00298	0.00283	64	nan
Wolbachia endosymbiont (group A) of Bibio marci	2953987	S	76743	139711	216454	0.01453	0.00938	0.01021	0.00952	34	nan
Wolbachia endosymbiont (group B) of Parapoynx stratiotata	2954040	S	5159	58251	63410	0.00426	0.00391	0.00428	0.00399	34	nan
Wolbachia endosymbiont of Oedothorax gibbosus	931100	S	231	256	487	0.00003	0.00002	0.00002	0.00002	34	nan
Wolbachia endosymbiont of Trichogramma pretiosum	125593	S	138	145	283	0.00002	0.00001	0.00001	0.00001	33	nan
Wolbachia endosymbiont of Folsomia candida	169402	S	101	101	202	0.00001	0.00001	0.00000	0.00001	34	4.0
Neorickettsia risticii	950	S	33367	33420	66787	0.00448	0.00224	0.00217	0.00202	41	nan
Rickettsia typhi	785	S	95681	95860	191541	0.01286	0.00643	0.00862	0.00805	29	nan
Sphingomonas xanthus	2594473	S	263104	265237	528341	0.03546	0.01780	0.01901	0.01740	64	nan
Sphingomonas aliaeris	2759526	S	22948	23033	45981	0.00309	0.00155	0.00171	0.00154	65	nan
Labrenzia sp. VG12	2021862	S	178641	179313	357954	0.02403	0.01204	0.01199	0.01113	61	nan
Candidatus Fonsibacter ubiquis	1925548	S	19119	19119	38238	0.00257	0.00128	0.00171	0.00162	28	nan
Burkholderia stagnalis	1503054	S	156223	161959	318182	0.02136	0.01087	0.01267	0.01202	68	nan
Burkholderia ubonensis	101571	S	3812	4190	8002	0.00054	0.00028	0.00000	0.00031	68	5.0
Burkholderia cenocepacia	95486	S	1929	3133	5062	0.00034	0.00021	0.00000	0.00023	68	4.0
Burkholderia multivorans	87883	S	713	740	1453	0.00010	0.00005	0.00000	0.00005	68	4.0
Burkholderia cepacia	292	S	539	597	1136	0.00008	0.00004	0.00000	0.00004	68	5.0
Burkholderia vietnamiensis	60552	S	316	478	794	0.00005	0.00003	0.00000	0.00003	68	5.0
Burkholderia ambifaria	152480	S	270	300	570	0.00004	0.00002	0.00000	0.00002	68	5.0
Burkholderia pyrrocinia	60550	S	265	290	555	0.00004	0.00002	0.00000	0.00002	68	5.0
Burkholderia contaminans	488447	S	262	294	556	0.00004	0.00002	0.00000	0.00002	68	5.0
Burkholderia latens	488446	S	230	237	467	0.00003	0.00002	0.00000	0.00002	67	4.0
Burkholderia anthina	179879	S	202	228	430	0.00003	0.00002	0.00000	0.00002	68	5.0
Burkholderia lata	482957	S	168	200	368	0.00002	0.00001	0.00000	0.00001	68	5.0
Burkholderia territorii	1503055	S	125	134	259	0.00002	0.00001	0.00000	0.00001	67	4.0
Burkholderia stabilis	95485	S	118	136	254	0.00002	0.00001	0.00000	0.00001	67	5.0
Burkholderia pseudomultivorans	1207504	S	117	123	240	0.00002	0.00001	0.00000	0.00001	68	4.0
Burkholderia pseudomallei	28450	S	2351	2653	5004	0.00034	0.00018	0.00000	0.00020	68	4.0
Burkholderia thailandensis	57975	S	166	230	396	0.00003	0.00002	0.00000	0.00002	68	4.0
Burkholderia sp. MSMB1588	1636423	S	145	248	393	0.00003	0.00002	0.00000	0.00002	68	5.0
Burkholderia gladioli	28095	S	211	214	425	0.00003	0.00001	0.00000	0.00002	69	4.0
Burkholderia glumae	337	S	102	104	206	0.00001	0.00001	0.00000	0.00001	69	4.0
Cupriavidus sp. USMAHM13	1389192	S	135	439	574	0.00004	0.00003	0.00000	0.00003	69	5.0
Cupriavidus pauculus	82633	S	208	224	432	0.00003	0.00002	0.00000	0.00002	66	5.0
Cupriavidus necator	106590	S	161	222	383	0.00003	0.00001	0.00000	0.00002	66	4.0
Cupriavidus taiwanensis	164546	S	140	180	320	0.00002	0.00001	0.00000	0.00001	68	5.0
Cupriavidus basilensis	68895	S	110	123	233	0.00002	0.00001	0.00000	0.00001	66	4.0
Paraburkholderia sp. SUR17	3034358	S	190	220	410	0.00003	0.00001	0.00000	0.00001	66	4.0
Paraburkholderia sabiae	273251	S	117	263	380	0.00003	0.00002	0.00000	0.00002	62	4.0
Ralstonia pseudosolanacearum	1310165	S	318	473	791	0.00005	0.00003	0.00000	0.00003	68	5.0
Ralstonia mannitolilytica	105219	S	107	114	221	0.00001	0.00001	0.00000	0.00001	67	5.0
Ralstonia solanacearum	305	S	101	107	208	0.00001	0.00001	0.00000	0.00001	68	5.0
Pandoraea sp. NE5	2904129	S	149	206	355	0.00002	0.00001	0.00000	0.00001	64	5.0
Acidovorax sp. JMULE5	2518343	S	2673	3197	5870	0.00039	0.00021	0.00000	0.00022	66	4.0
Acidovorax sp. KKS102	358220	S	2403	3321	5724	0.00038	0.00022	0.00000	0.00023	67	4.0
Acidovorax sp. RAC01	1842533	S	1916	2424	4340	0.00029	0.00016	0.00000	0.00017	66	4.0
Acidovorax sp. 1608163	2478662	S	1242	1408	2650	0.00018	0.00009	0.00000	0.00009	66	4.0
Acidovorax sp. T1	1858609	S	1175	3007	4182	0.00028	0.00020	0.00000	0.00020	66	5.0
Acidovorax sp. HDW3	2714923	S	699	781	1480	0.00010	0.00005	0.00000	0.00005	67	5.0
Acidovorax sp. 5MLIR	2949090	S	496	572	1068	0.00007	0.00004	0.00000	0.00004	68	5.0
Acidovorax sp. NCPPB 3576	2940488	S	481	868	1349	0.00009	0.00006	0.00006	0.00006	68	nan
Acidovorax sp. GBBC 1281	2940492	S	318	1029	1347	0.00009	0.00007	0.00008	0.00007	68	nan
Acidovorax carolinensis	553814	S	1865	3489	5354	0.00036	0.00023	0.00000	0.00024	66	4.0
Acidovorax radicis	758826	S	1696	1897	3593	0.00024	0.00013	0.00000	0.00013	65	4.0
Acidovorax temperans	80878	S	929	1646	2575	0.00017	0.00011	0.00000	0.00011	66	4.0
Verminephrobacter eiseniae	364317	S	15243	15582	30825	0.00207	0.00105	0.00000	0.00107	66	5.0
Verminephrobacter aporrectodeae	1110389	S	442	442	884	0.00006	0.00003	0.00000	0.00003	55	4.0
Variovorax sp. PBL-H6	434009	S	462	1008	1470	0.00010	0.00007	0.00000	0.00007	66	5.0
Variovorax sp. PAMC26660	2762322	S	442	490	932	0.00006	0.00003	0.00000	0.00003	67	5.0
Variovorax sp. HW608	1034889	S	440	456	896	0.00006	0.00003	0.00000	0.00003	68	5.0
Variovorax sp. PAMC 28711	1795631	S	400	416	816	0.00005	0.00003	0.00000	0.00003	66	5.0
Variovorax sp. RKNM96	2681552	S	363	433	796	0.00005	0.00003	0.00003	0.00003	68	nan
Variovorax sp. RA8	662548	S	335	426	761	0.00005	0.00003	0.00003	0.00003	68	nan
Variovorax sp. WDL1	207745	S	297	493	790	0.00005	0.00003	0.00000	0.00003	66	5.0
Variovorax sp. PAMC28562	2762323	S	253	257	510	0.00003	0.00002	0.00000	0.00002	64	4.0
Variovorax sp. PBS-H4	434008	S	250	340	590	0.00004	0.00002	0.00002	0.00002	68	nan
Variovorax sp. 38R	2774875	S	200	359	559	0.00004	0.00002	0.00003	0.00003	68	nan
Variovorax sp. PBL-E5	434014	S	148	470	618	0.00004	0.00003	0.00000	0.00003	67	5.0
Variovorax sp. WS11	1105204	S	145	146	291	0.00002	0.00001	0.00000	0.00001	66	5.0
Variovorax sp. SRS16	282217	S	108	302	410	0.00003	0.00002	0.00000	0.00002	67	5.0
Variovorax paradoxus	34073	S	4011	5080	9091	0.00061	0.00034	0.00037	0.00036	68	nan
Variovorax boronicumulans	436515	S	323	613	936	0.00006	0.00004	0.00005	0.00004	68	nan
Comamonas sp. NLF-1-9	2853163	S	380	442	822	0.00006	0.00003	0.00003	0.00003	68	nan
Comamonas sp. ZM22	3046670	S	157	208	365	0.00002	0.00001	0.00000	0.00001	63	4.0
Comamonas sp. B21-038	2918299	S	151	179	330	0.00002	0.00001	0.00000	0.00001	66	4.0
Comamonas aquatica	225991	S	587	748	1335	0.00009	0.00005	0.00000	0.00005	67	5.0
Comamonas antarctica	2743470	S	560	692	1252	0.00008	0.00005	0.00005	0.00005	68	nan
Comamonas flocculans	2597701	S	392	562	954	0.00006	0.00004	0.00004	0.00004	68	nan
Comamonas terrigena	32013	S	297	322	619	0.00004	0.00002	0.00000	0.00002	67	5.0
